"","timestamp","Villa.Tecolutilla.Wind.Speed..80.m.","Villa.Tecolutilla.Wind.Direction..80.m."
"1",2020-04-14 00:00:00,5.1919937,236.30994
"2",2020-04-14 01:00:00,5.937272,255.96376
"3",2020-04-14 02:00:00,5.4119864,273.8141
"4",2020-04-14 03:00:00,2.3051248,308.65982
"5",2020-04-14 04:00:00,2.3051248,51.34018
"6",2020-04-14 05:00:00,2.2768397,71.56504
"7",2020-04-14 06:00:00,1.0182338,44.999985
"8",2020-04-14 07:00:00,7.5685663,154.65382
"9",2020-04-14 08:00:00,4.802999,167.00539
"10",2020-04-14 09:00:00,1.1384199,108.434944
"11",2020-04-14 10:00:00,6.2145634,10.00798
"12",2020-04-14 11:00:00,11.177405,14.931412
"13",2020-04-14 12:00:00,14.934577,15.376251
"14",2020-04-14 13:00:00,18.079027,12.652557
"15",2020-04-14 14:00:00,18.861387,13.240509
"16",2020-04-14 15:00:00,21.218632,14.743561
"17",2020-04-14 16:00:00,22.450264,15.819183
"18",2020-04-14 17:00:00,23.491207,15.1010895
"19",2020-04-14 18:00:00,22.104116,16.073563
"20",2020-04-14 19:00:00,21.629978,18.434952
"21",2020-04-14 20:00:00,21.659916,21.447723
"22",2020-04-14 21:00:00,22.127556,21.974487
"23",2020-04-14 22:00:00,20.60823,19.384506
"24",2020-04-14 23:00:00,17.076298,18.434952
"25",2020-04-15 00:00:00,6.489992,3.1798248
"26",2020-04-15 01:00:00,7.0911775,293.9625
"27",2020-04-15 02:00:00,10.44,316.3972
"28",2020-04-15 03:00:00,16.418526,322.12503
"29",2020-04-15 04:00:00,19.134262,318.8141
"30",2020-04-15 05:00:00,18.391737,319.76367
"31",2020-04-15 06:00:00,17.057314,315.8551
"32",2020-04-15 07:00:00,13.830749,308.65982
"33",2020-04-15 08:00:00,9.387651,302.4712
"34",2020-04-15 09:00:00,8.587338,303.02386
"35",2020-04-15 10:00:00,10.691453,315
"36",2020-04-15 11:00:00,13.324863,321.58197
"37",2020-04-15 12:00:00,17.377226,320.04248
"38",2020-04-15 13:00:00,23.277834,320.64825
"39",2020-04-15 14:00:00,25.460936,326.5346
"40",2020-04-15 15:00:00,28.84721,330.87598
"41",2020-04-15 16:00:00,29.949316,334.359
"42",2020-04-15 17:00:00,30.351225,337.6938
"43",2020-04-15 18:00:00,28.357857,339.95477
"44",2020-04-15 19:00:00,25.862436,343.8355
"45",2020-04-15 20:00:00,26.654589,343.52313
"46",2020-04-15 21:00:00,23.157824,348.3407
"47",2020-04-15 22:00:00,20.06334,350.7067
"48",2020-04-15 23:00:00,16.23596,356.18594
"49",2020-04-16 00:00:00,12.964998,1.5911255
"50",2020-04-16 01:00:00,8.209263,15.255127
"51",2020-04-16 02:00:00,5.904439,52.431404
"52",2020-04-16 03:00:00,8.699793,65.55604
"53",2020-04-16 04:00:00,9.585739,55.71312
"54",2020-04-16 05:00:00,7.928177,50.527527
"55",2020-04-16 06:00:00,5.3517847,47.726303
"56",2020-04-16 07:00:00,2.7416782,23.198593
"57",2020-04-16 08:00:00,4.73506,81.25384
"58",2020-04-16 09:00:00,5.3999996,89.99999
"59",2020-04-16 10:00:00,5.692099,55.304832
"60",2020-04-16 11:00:00,8.557102,14.620865
"61",2020-04-16 12:00:00,12.245294,1.6846771
"62",2020-04-16 13:00:00,17.283749,358.80652
"63",2020-04-16 14:00:00,20.519999,360
"64",2020-04-16 15:00:00,23.759998,360
"65",2020-04-16 16:00:00,25.223133,2.4540253
"66",2020-04-16 17:00:00,26.661882,2.3215332
"67",2020-04-16 18:00:00,25.651104,4.830414
"68",2020-04-16 19:00:00,24.149532,10.30484
"69",2020-04-16 20:00:00,22.033648,4.6858826
"70",2020-04-16 21:00:00,18.861387,13.240509
"71",2020-04-16 22:00:00,17.238699,28.705948
"72",2020-04-16 23:00:00,17.057314,44.144897
"73",2020-04-17 00:00:00,17.555307,61.858406
"74",2020-04-17 01:00:00,16.071491,74.40718
"75",2020-04-17 02:00:00,11.966953,83.08877
"76",2020-04-17 03:00:00,5.937272,104.03624
"77",2020-04-17 04:00:00,2.0991426,149.03624
"78",2020-04-17 05:00:00,0.8049845,26.565033
"79",2020-04-17 06:00:00,3.396233,32.005356
"80",2020-04-17 07:00:00,4.6938257,32.47119
"81",2020-04-17 08:00:00,2.4149535,116.56505
"82",2020-04-17 09:00:00,6.638072,102.52881
"83",2020-04-17 10:00:00,6.9899354,101.88866
"84",2020-04-17 11:00:00,6.12,89.99999
"85",2020-04-17 12:00:00,6.638072,49.398697
"86",2020-04-17 13:00:00,13.570615,21.801407
"87",2020-04-17 14:00:00,19.602652,7.386017
"88",2020-04-17 15:00:00,22.725668,3.6329498
"89",2020-04-17 16:00:00,25.683926,5.6306763
"90",2020-04-17 17:00:00,27.51116,6.0090027
"91",2020-04-17 18:00:00,27.047956,9.963806
"92",2020-04-17 19:00:00,26.758923,17.216064
"93",2020-04-17 20:00:00,21.841648,8.530762
"94",2020-04-17 21:00:00,20.774214,8.972626
"95",2020-04-17 22:00:00,21.218632,14.743561
"96",2020-04-17 23:00:00,21.578989,27.847565
"97",2020-04-18 00:00:00,24.75638,40.872406
"98",2020-04-18 01:00:00,26.787966,48.81407
"99",2020-04-18 02:00:00,28.40124,59.534447
"100",2020-04-18 03:00:00,27.943514,75.06858
"101",2020-04-18 04:00:00,24.609364,95.87739
"102",2020-04-18 05:00:00,23.510508,115.3879
"103",2020-04-18 06:00:00,21.897945,133.66777
"104",2020-04-18 07:00:00,18.171976,146.30994
"105",2020-04-18 08:00:00,11.298495,149.34933
"106",2020-04-18 09:00:00,9.3876505,175.60129
"107",2020-04-18 10:00:00,12.24,208.0725
"108",2020-04-18 11:00:00,12.229406,222.61406
"109",2020-04-18 12:00:00,9.339208,242.44719
"110",2020-04-18 13:00:00,6.792466,302.00537
"111",2020-04-18 14:00:00,15.84,360
"112",2020-04-18 15:00:00,23.97989,7.765167
"113",2020-04-18 16:00:00,24.216522,5.1173096
"114",2020-04-18 17:00:00,25.764534,15.395554
"115",2020-04-18 18:00:00,23.241617,16.189209
"116",2020-04-18 19:00:00,23.507753,27.349869
"117",2020-04-18 20:00:00,24.312662,27.323883
"118",2020-04-18 21:00:00,22.406927,46.30194
"119",2020-04-18 22:00:00,21.67487,57.893738
"120",2020-04-18 23:00:00,23.006226,69.86369
"121",2020-04-19 00:00:00,22.42427,84.47246
"122",2020-04-19 01:00:00,17.731598,95.82633
"123",2020-04-19 02:00:00,8.427383,109.9831
"124",2020-04-19 03:00:00,2.1897945,189.46233
"125",2020-04-19 04:00:00,4.802999,257.00537
"126",2020-04-19 05:00:00,5.634891,243.43495
"127",2020-04-19 06:00:00,4.32,180
"128",2020-04-19 07:00:00,9.220499,128.6598
"129",2020-04-19 08:00:00,10.195057,137.8624
"130",2020-04-19 09:00:00,10.1887,147.99461
"131",2020-04-19 10:00:00,9.360001,202.61987
"132",2020-04-19 11:00:00,14.84318,219.09386
"133",2020-04-19 12:00:00,18.581022,215.53769
"134",2020-04-19 13:00:00,18.971008,213.38852
"135",2020-04-19 14:00:00,16.489416,216.11934
"136",2020-04-19 15:00:00,4.829907,206.56505
"137",2020-04-19 16:00:00,5.4477882,82.40536
"138",2020-04-19 17:00:00,11.043261,70.97439
"139",2020-04-19 18:00:00,12.682018,83.480194
"140",2020-04-19 19:00:00,9.931042,133.53119
"141",2020-04-19 20:00:00,30.54701,188.1301
"142",2020-04-19 21:00:00,27.908709,186.66666
"143",2020-04-19 22:00:00,28.948118,201.13983
"144",2020-04-19 23:00:00,36.08091,204.77515
"145",2020-04-20 00:00:00,34.358788,215.18875
"146",2020-04-20 01:00:00,35.647274,218.02722
"147",2020-04-20 02:00:00,35.71265,217.21645
"148",2020-04-20 03:00:00,36.288643,216.52885
"149",2020-04-20 04:00:00,35.452232,212.56044
"150",2020-04-20 05:00:00,34.793587,208.4212
"151",2020-04-20 06:00:00,34.651752,203.90205
"152",2020-04-20 07:00:00,32.44996,199.44003
"153",2020-04-20 08:00:00,15.856356,182.60257
"154",2020-04-20 09:00:00,23.444265,183.52145
"155",2020-04-20 10:00:00,26.437336,186.25403
"156",2020-04-20 11:00:00,29.01743,191.44934
"157",2020-04-20 12:00:00,26.980793,198.6767
"158",2020-04-20 13:00:00,14.007655,205.90651
"159",2020-04-20 14:00:00,12.303366,20.556046
"160",2020-04-20 15:00:00,26.980793,31.35707
"161",2020-04-20 16:00:00,23.847115,28.886566
"162",2020-04-20 17:00:00,26.826641,40.100906
"163",2020-04-20 18:00:00,23.441502,42.510437
"164",2020-04-20 19:00:00,21.94524,48.990906
"165",2020-04-20 20:00:00,25.460936,33.465378
"166",2020-04-20 21:00:00,21.67786,35.53766
"167",2020-04-20 22:00:00,15.1884165,31.42955
"168",2020-04-20 23:00:00,5.6233797,50.194427
"169",2020-04-21 00:00:00,3.6179552,174.28941
"170",2020-04-21 01:00:00,6.9247384,152.10272
"171",2020-04-21 02:00:00,7.9932966,125.83765
"172",2020-04-21 03:00:00,8.404285,133.26428
"173",2020-04-21 04:00:00,7.172949,162.47443
"174",2020-04-21 05:00:00,7.172949,197.52557
"175",2020-04-21 06:00:00,8.891343,238.24052
"176",2020-04-21 07:00:00,12.758432,253.61046
"177",2020-04-21 08:00:00,9.904906,250.90651
"178",2020-04-21 09:00:00,7.5942082,238.57043
"179",2020-04-21 10:00:00,4.379589,189.46233
"180",2020-04-21 11:00:00,1.0182338,135
"181",2020-04-21 12:00:00,7.729527,27.75853
"182",2020-04-21 13:00:00,20.5484,3.0127716
"183",2020-04-21 14:00:00,25.241108,3.2704926
"184",2020-04-21 15:00:00,29.035288,17.31163
"185",2020-04-21 16:00:00,29.257614,18.657883
"186",2020-04-21 17:00:00,29.024128,23.385208
"187",2020-04-21 18:00:00,27.381308,24.880356
"188",2020-04-21 19:00:00,27.381306,28.249725
"189",2020-04-21 20:00:00,26.959166,34.114456
"190",2020-04-21 21:00:00,28.257132,34.09497
"191",2020-04-21 22:00:00,28.449112,38.3201
"192",2020-04-21 23:00:00,28.583183,49.085617
"193",2020-04-20 00:00:00,27.504093,217.01988
"194",2020-04-20 01:00:00,28.312117,221.39154
"195",2020-04-20 02:00:00,30.0767,222.08917
"196",2020-04-20 03:00:00,32.682762,220.53284
"197",2020-04-20 04:00:00,33.3559,214.8907
"198",2020-04-20 05:00:00,33.221584,209.8989
"199",2020-04-20 06:00:00,31.716797,206.27422
"201",2020-04-20 08:00:00,27.698952,188.97263
"202",2020-04-20 09:00:00,24.798225,170.81116
"203",2020-04-20 10:00:00,19.130875,160.20113
"204",2020-04-20 11:00:00,14.512064,150.25511
"205",2020-04-20 12:00:00,8.913181,136.63657
"206",2020-04-20 13:00:00,13.37825,66.194046
"207",2020-04-20 14:00:00,26.712873,52.6668
"208",2020-04-20 15:00:00,27.661497,51.34018
"209",2020-04-20 16:00:00,27.0024,42.838913
"210",2020-04-20 17:00:00,28.394392,39.340515
"211",2020-04-20 18:00:00,24.798225,39.699066
"212",2020-04-20 19:00:00,22.915916,43.726974
"213",2020-04-20 20:00:00,20.972897,50.572174
"214",2020-04-20 21:00:00,16.263872,62.30053
"215",2020-04-20 22:00:00,11.928989,84.805565
"216",2020-04-20 23:00:00,11.27553,106.69924
"217",2020-04-21 00:00:00,14.904173,127.14668
"218",2020-04-21 01:00:00,17.709658,153.43495
"219",2020-04-21 02:00:00,20.265795,192.30801
"220",2020-04-21 03:00:00,22.473343,215.21759
"221",2020-04-21 04:00:00,22.768396,235.30484
"222",2020-04-21 05:00:00,21.518847,252.47443
"223",2020-04-21 06:00:00,18.161278,256.23923
"225",2020-04-21 08:00:00,1.8,180
"226",2020-04-21 09:00:00,3.2399998,180
"227",2020-04-21 10:00:00,2.0991426,149.03624
"228",2020-04-21 11:00:00,2.8116899,39.805573
"229",2020-04-21 12:00:00,9.9571085,12.528793
"230",2020-04-21 13:00:00,20.957443,355.07288
"231",2020-04-21 14:00:00,23.857979,354.8056
"232",2020-04-21 15:00:00,25.567604,9.72757
"233",2020-04-21 16:00:00,25.922499,9.59314
"234",2020-04-21 17:00:00,28.639803,14.560272
"235",2020-04-21 18:00:00,28.137632,16.34816
"236",2020-04-21 19:00:00,28.48326,20.725555
"237",2020-04-21 20:00:00,25.420181,12.2647705
"238",2020-04-21 21:00:00,24.826952,16.858398
"239",2020-04-21 22:00:00,24.149532,26.565033
"240",2020-04-21 23:00:00,24.967497,42.66269
"241",2020-04-22 00:00:00,23.510508,64.61209
"242",2020-04-22 01:00:00,23.219301,82.874985
"243",2020-04-22 02:00:00,14.512064,113.385216
"244",2020-04-22 03:00:00,9.826088,171.57303
"245",2020-04-22 04:00:00,7.8625183,195.9454
"246",2020-04-22 05:00:00,5.2416787,195.9454
"247",2020-04-22 06:00:00,3.6179552,185.71059
"248",2020-04-22 07:00:00,4.896529,162.89728
"249",2020-04-22 08:00:00,10.636766,156.0375
"250",2020-04-22 09:00:00,15.617529,154.0256
"251",2020-04-22 10:00:00,13.202726,154.13364
"252",2020-04-22 11:00:00,9,143.1301
"253",2020-04-22 12:00:00,6.0347,107.35402
"254",2020-04-22 13:00:00,10.948973,46.3322
"255",2020-04-22 14:00:00,18.193361,27.072067
"256",2020-04-22 15:00:00,23.933907,21.161255
"257",2020-04-22 16:00:00,24.066206,21.960556
"258",2020-04-22 17:00:00,27.231804,24.193207
"259",2020-04-22 18:00:00,26.302181,30.425766
"260",2020-04-22 19:00:00,25.567604,32.347427
"261",2020-04-22 20:00:00,26.518099,41.69812
"262",2020-04-22 21:00:00,27.871534,54.46232
"263",2020-04-22 22:00:00,26.729847,64.47029
"264",2020-04-22 23:00:00,23.933907,83.08877
"265",2020-04-23 00:00:00,15.315873,150.42216
"266",2020-04-23 01:00:00,20.12461,190.30484
"267",2020-04-23 02:00:00,19.721298,201.41296
"268",2020-04-23 03:00:00,19.296133,194.03624
"269",2020-04-23 04:00:00,18.511143,193.49573
"270",2020-04-23 05:00:00,22.61419,193.81503
"271",2020-04-23 06:00:00,22.392462,184.61066
"272",2020-04-23 07:00:00,21.38897,173.23383
"273",2020-04-23 08:00:00,13.450708,164.47589
"274",2020-04-23 09:00:00,19.694992,161.89624
"275",2020-04-23 10:00:00,29.16889,178.58557
"276",2020-04-23 11:00:00,40.89606,189.62816
"277",2020-04-23 12:00:00,45,196.26021
"278",2020-04-23 13:00:00,44.326805,200.93729
"279",2020-04-23 14:00:00,43.151974,205.70996
"280",2020-04-23 15:00:00,43.476612,207.62596
"281",2020-04-23 16:00:00,42.694542,208.72614
"282",2020-04-23 17:00:00,41.305977,210.36427
"283",2020-04-23 18:00:00,40.25888,211.84247
"284",2020-04-23 19:00:00,40.46919,215.95242
"285",2020-04-23 20:00:00,20.082708,255.46555
"286",2020-04-23 21:00:00,23.023119,260.09583
"287",2020-04-23 22:00:00,28.04305,240.80252
"288",2020-04-23 23:00:00,33.58628,239.03624
"289",2020-04-24 00:00:00,31.018547,248.1986
"290",2020-04-24 01:00:00,31.771912,250.12782
"291",2020-04-24 02:00:00,31.193535,251.14685
"292",2020-04-24 03:00:00,29.957972,249.60513
"293",2020-04-24 04:00:00,27.783045,238.7816
"294",2020-04-24 05:00:00,31.259941,231.5463
"295",2020-04-24 06:00:00,33.88019,227.15297
"296",2020-04-24 07:00:00,33.933697,221.12874
"297",2020-04-24 08:00:00,15.978484,247.47943
"298",2020-04-24 09:00:00,18.678415,242.44719
"299",2020-04-24 10:00:00,20.746122,231.3402
"300",2020-04-24 11:00:00,18.391737,229.76364
"301",2020-04-24 12:00:00,13.891522,238.7816
"302",2020-04-24 13:00:00,17.786331,305.94214
"303",2020-04-24 14:00:00,30.248568,321.76617
"304",2020-04-24 15:00:00,31.178993,328.69586
"305",2020-04-24 16:00:00,32.209442,334.86707
"306",2020-04-24 17:00:00,31.97319,352.23483
"307",2020-04-24 18:00:00,27.729347,358.51215
"308",2020-04-24 19:00:00,25.006397,6.613449
"309",2020-04-24 20:00:00,23.795427,10.4599
"310",2020-04-24 21:00:00,20.291357,25.201126
"311",2020-04-24 22:00:00,14.4,36.86989
"312",2020-04-24 23:00:00,5.495161,31.607498
"313",2020-04-25 00:00:00,3.4152596,288.43497
"314",2020-04-25 01:00:00,7.072878,255.25644
"315",2020-04-25 02:00:00,7.491114,234.78241
"316",2020-04-25 03:00:00,6.989936,214.50853
"317",2020-04-25 04:00:00,5.991594,212.73523
"318",2020-04-25 05:00:00,4.8433046,221.98721
"319",2020-04-25 06:00:00,5.3999996,216.8699
"320",2020-04-25 07:00:00,5.95906,205.01689
"321",2020-04-25 08:00:00,5.95906,205.01689
"322",2020-04-25 09:00:00,7.208994,182.86241
"323",2020-04-25 10:00:00,7.92,180
"324",2020-04-25 11:00:00,3.7585104,163.30075
"325",2020-04-25 12:00:00,6.638072,40.601288
"326",2020-04-25 13:00:00,23.749088,14.03624
"327",2020-04-25 14:00:00,27.067116,13.851395
"328",2020-04-25 15:00:00,32.79361,17.241455
"329",2020-04-25 16:00:00,32.69664,20.629868
"330",2020-04-25 17:00:00,34.145008,24.943893
"331",2020-04-25 18:00:00,32.909985,30.211319
"332",2020-04-25 19:00:00,31.353085,34.237457
"333",2020-04-25 20:00:00,31.222609,20.942642
"334",2020-04-25 21:00:00,24.482647,19.767166
"335",2020-04-25 22:00:00,14.277983,33.690063
"336",2020-04-25 23:00:00,8.647496,92.38594
"337",2020-04-26 00:00:00,11.159999,89.99999
"338",2020-04-26 01:00:00,11.212135,84.47246
"339",2020-04-26 02:00:00,8.905908,75.96376
"340",2020-04-26 03:00:00,5.1165614,39.2894
"341",2020-04-26 04:00:00,8.707237,330.25513
"342",2020-04-26 05:00:00,17.309975,315
"343",2020-04-26 06:00:00,19.602652,315.74408
"344",2020-04-26 07:00:00,28.257132,315.51617
"345",2020-04-26 08:00:00,19.022177,330.5241
"346",2020-04-26 09:00:00,16.595179,3.7313843
"347",2020-04-26 10:00:00,16.78156,22.714401
"348",2020-04-26 11:00:00,11.165805,1.8475952
"349",2020-04-26 12:00:00,13.849477,332.10272
"350",2020-04-26 13:00:00,28.006056,316.04163
"351",2020-04-26 14:00:00,27.504093,322.98013
"352",2020-04-26 15:00:00,29.76484,327.84772
"353",2020-04-26 16:00:00,31.404713,331.96616
"354",2020-04-26 17:00:00,30.274265,334.65384
"355",2020-04-26 18:00:00,25.925,334.50244
"356",2020-04-26 19:00:00,21.578989,332.15244
"357",2020-04-26 20:00:00,19.586117,342.89728
"358",2020-04-26 21:00:00,17.072504,335.0561
"359",2020-04-26 22:00:00,10.587918,305.31122
"360",2020-04-26 23:00:00,12.57426,256.7595
"361",2020-04-27 00:00:00,20.633371,317.1211
"362",2020-04-27 01:00:00,20.393293,339.3256
"363",2020-04-27 02:00:00,19.06301,349.11447
"364",2020-04-27 03:00:00,17.026896,346.5514
"365",2020-04-27 04:00:00,15.596767,341.14685
"366",2020-04-27 05:00:00,14.081477,327.5288
"367",2020-04-27 06:00:00,13.896187,323.427
"368",2020-04-27 07:00:00,12.387348,324.46234
"369",2020-04-27 08:00:00,10.315115,330.7512
"370",2020-04-27 09:00:00,10.966713,336.8014
"371",2020-04-27 10:00:00,11.966953,338.83875
"372",2020-04-27 11:00:00,13.708391,336.8014
"373",2020-04-27 12:00:00,14.84318,345.96375
"374",2020-04-27 13:00:00,18.782204,347.82855
"375",2020-04-27 14:00:00,21.605999,349.439
"376",2020-04-27 15:00:00,24.387177,351.51105
"377",2020-04-27 16:00:00,24.546085,355.79465
"378",2020-04-27 17:00:00,24.863468,2.4895477
