location,Armadillo de los Infante,Armadillo de los Infante
lat,22.33321,22.33321
lon,-100.78125,-100.78125
asl,1821.990,1821.990
variable,Wind Speed,Wind Direction
unit,km/h,Â°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Armadillo de los Infante Wind Speed [80 m],Armadillo de los Infante Wind Direction [80 m]
20200420T0000,14.512064,133.9949
20200420T0100,12.984975,133.8767
20200420T0200,9.957108,139.39871
20200420T0300,7.653705,138.81407
20200420T0400,5.495161,148.3925
20200420T0500,4.379589,189.46233
20200420T0600,4.6938257,237.52881
20200420T0700,3.0547013,225.0
20200420T0800,2.968636,255.96376
20200420T0900,3.2399998,270.0
20200420T1000,1.484318,284.03625
20200420T1100,0.8049845,333.43497
20200420T1200,0.71999997,360.0
20200420T1300,1.4399999,360.0
20200420T1400,1.2979984,326.30994
20200420T1500,0.8049845,296.56506
20200420T1600,0.71999997,360.0
20200420T1700,4.0249224,79.695145
20200420T1800,10.105681,94.08562
20200420T1900,22.734219,100.954056
20200420T2000,38.175278,105.87117
20200420T2100,36.834526,111.80141
20200420T2200,24.014996,113.875275
20200420T2300,16.45007,113.19859
20200421T0000,11.043261,109.025604
20200421T0100,7.342588,101.30993
20200421T0200,4.3349743,85.23635
20200421T0300,3.096837,54.46232
20200421T0400,2.2768397,18.434952
20200421T0500,2.5455842,351.8699
20200421T0600,2.5959969,326.30994
20200421T0700,3.7585104,106.69924
20200421T0800,2.8799999,270.0
20200421T0900,1.8,270.0
20200421T1000,1.609969,153.43495
20200421T1100,3.5455887,113.96249
20200421T1200,6.6185193,112.380135
20200421T1300,10.495713,112.16634
20200421T1400,12.245293,114.30454
20200421T1500,13.905509,111.2505
20200421T1600,16.645864,111.571304
20200421T1700,21.288757,108.74134
20200421T1800,25.161398,109.21267
20200421T1900,31.421213,108.01977
20200421T2000,25.620771,109.70798
20200421T2100,20.49156,108.434944
20200421T2200,17.208603,105.78075
20200421T2300,14.84318,104.03624
20200422T0000,12.9249525,102.87499
20200422T0100,10.182337,98.1301
20200422T0200,7.92,89.99999
20200422T0300,6.8399997,89.99999
20200422T0400,5.0528407,94.08562
20200422T0500,4.2136917,109.9831
20200422T0600,3.319036,139.3987
20200422T0700,2.8799999,180.0
20200422T0800,3.8939953,213.69006
20200422T0900,5.1165614,230.7106
20200422T1000,5.991594,237.26477
20200422T1100,7.968939,251.56506
20200422T1200,9.422101,263.41806
20200422T1300,10.086427,272.0454
20200422T1400,9.885262,280.4915
20200422T1500,9.826088,278.42697
20200422T1600,10.1376915,276.1155
20200422T1700,10.086427,272.0454
20200422T1800,9.0,270.0
20200422T1900,4.802999,257.00537
20200422T2000,22.033648,265.31412
20200422T2100,21.746504,263.34558
20200422T2200,23.803596,266.53177
20200422T2300,25.2924,274.8991
20200423T0000,27.181787,281.45874
20200423T0100,31.170673,284.03625
20200423T0200,32.305862,284.1911
20200423T0300,29.871325,282.5288
20200423T0400,25.455843,278.1301
20200423T0500,21.707731,275.7106
20200423T0600,18.888851,277.6668
20200423T0700,18.175545,277.9696
20200423T0800,15.986595,277.76517
20200423T0900,13.339445,266.90594
20200423T1000,17.873554,288.7999
20200423T1100,18.58451,301.5348
20200423T1200,16.78156,305.3948
20200423T1300,13.979872,304.50854
20200423T1400,12.10157,300.37915
20200423T1500,11.770403,293.4287
20200423T1600,11.503113,290.1363
20200423T1700,10.829958,291.44775
20200423T1800,8.699793,294.44397
20200423T1900,5.4833565,336.8014
20200423T2000,11.165805,339.22775
20200423T2100,7.42159,50.906143
20200423T2200,15.192682,103.70696
20200423T2300,24.48,118.07248
20200424T0000,27.757378,123.896164
20200424T0100,21.599998,126.869896
20200424T0200,12.979984,123.69006
20200424T0300,10.685391,122.61925
20200424T0400,7.9932966,125.83765
20200424T0500,6.193674,125.537674
20200424T0600,4.6102495,128.6598
20200424T0700,3.563818,135.0
20200424T0800,4.452954,165.96376
20200424T0900,3.6,180.0
20200424T1000,3.6179552,174.28941
20200424T1100,4.0249224,153.43495
20200424T1200,4.8433046,131.98721
20200424T1300,5.154415,114.77514
20200424T1400,4.452954,104.03624
20200424T1500,4.3349743,94.76365
20200424T1600,4.0249224,100.30484
20200424T1700,7.2805495,98.53076
20200424T1800,15.188415,95.44032
20200424T1900,28.357857,98.02724
20200424T2000,31.559088,101.18175
20200424T2100,33.47032,108.82471
20200424T2200,27.475807,111.5226
20200424T2300,20.037485,107.78389
20200425T0000,13.039754,96.34019
20200425T0100,9.114471,80.90972
20200425T0200,6.439876,63.43495
20200425T0300,4.8433046,41.987198
20200425T0400,4.452954,14.03624
20200425T0500,5.04,360.0
20200425T0600,6.162207,353.29016
20200425T0700,6.638072,347.4712
20200425T0800,0.71999997,270.0
20200425T0900,0.35999998,270.0
20200425T1000,2.3051248,128.6598
20200425T1100,6.193674,125.537674
20200425T1200,8.78872,124.99202
20200425T1300,11.113451,114.90476
20200425T1400,13.32,108.92464
20200425T1500,18.0,106.2602
20200425T1600,21.41319,106.60698
20200425T1700,26.807312,104.78272
20200425T1800,34.322937,102.72435
20200425T1900,42.376144,99.7824
20200425T2000,50.06072,102.0372
20200425T2100,52.51683,106.323044
20200425T2200,34.66858,105.04639
20200425T2300,24.933735,94.96974
20200426T0000,9.904906,70.90651
20200426T0100,10.1887,57.994614
20200426T0200,10.931203,72.75854
20200426T0300,10.948973,80.537674
20200426T0400,9.422101,83.41805
20200426T0500,9.3669195,87.7974
20200426T0600,9.028754,85.42608
20200426T0700,9.605998,77.00538
20200426T0800,10.636766,113.96249
20200426T0900,11.440978,102.72436
20200426T1000,16.676977,103.73626
20200426T1100,16.946787,102.26477
20200426T1200,21.046917,102.8477
20200426T1300,26.983194,103.1092
20200426T1400,31.259941,104.67639
20200426T1500,35.309372,106.58733
20200426T1600,36.324337,109.69202
20200426T1700,35.364388,112.12633
20200426T1800,31.154043,112.416145
20200426T1900,28.185953,114.928474
20200426T2000,35.757988,106.975494
20200426T2100,34.763775,105.619385
20200426T2200,26.200977,102.699585
20200426T2300,19.770523,100.49147
20200427T0000,14.799459,94.18491
20200427T0100,12.24,89.99999
20200427T0200,10.086427,87.95459
20200427T0300,8.12197,77.19573
20200427T0400,6.151683,69.443954
20200427T0500,5.154415,65.224846
20200427T0600,4.6102495,51.34018
20200427T0700,4.6102495,51.34018
20200427T0800,4.1046314,52.125
20200427T0900,4.1046314,74.74488
20200427T1000,5.506941,101.30993
20200427T1100,8.225035,113.19859
20200427T1200,9.449572,107.74467
20200427T1300,12.074766,100.30484
20200427T1400,13.493999,99.21102
20200427T1500,18.998314,99.8193
20200427T1600,22.380884,101.12919
20200427T1700,21.749481,102.42594
20200427T1800,23.023119,99.904175
20200427T1900,26.882141,97.696045
20200427T2000,30.453527,96.78896
20200427T2100,26.478973,97.0284
20200427T2200,18.532133,97.815285
20200427T2300,15.328561,99.46232